id,userId,projectId,status,createdAt,updatedAt,motivation
cmdngavvn0006l504jl6xpkd7,cmdnf7soy0008jl04931rxcl7,cmdnev7jb000p47bcymbgpgn2,PENDING,7/28/2025 18:38:04,7/28/2025 18:38:05,
cmdo55pi80002lc047do7f6ud,cmdo3xyi60003l4046gjtu6ym,cmdnev61g000l47bcqvcbqxqb,PENDING,7/29/2025 6:13:53,7/29/2025 6:13:54,
cmdo5y44s0001la04fner6m6v,cmdo3xyi60003l4046gjtu6ym,cmdneuy53000147bchyjf8l90,PENDING,7/29/2025 6:35:58,7/29/2025 6:35:59,
cmdo7gypo0001la04u7ds1plx,cmdo73ahz0000ky04fr44924k,cmdneuzre000547bcqzwir5u9,PENDING,7/29/2025 7:18:38,7/29/2025 7:18:38,
cmdoemo5d0005jy043huyvxom,cmdnf7soy0008jl04931rxcl7,cmdnev8a2000r47bcq4a5ecq3,PENDING,7/29/2025 10:39:01,7/29/2025 10:39:02,
cmdomvn9v0001li041tuuel61,cmdoeifl40003jy04hdp11d3x,cmdnev245000b47bc6nyfkb77,PENDING,7/29/2025 14:29:57,7/29/2025 14:29:57,
cmdooldyn0001i6045m7266li,cmdoncgw50000jv047vugrxm0,cmdnetdbb000t475b470ah9og,PENDING,7/29/2025 15:17:57,7/29/2025 15:17:58,
cmdoronw70001l7044v34f31c,cmdoqoudg0001l404ikqsf1mi,cmdneuy53000147bchyjf8l90,PENDING,7/29/2025 16:44:29,7/29/2025 16:44:30,"I think it's a great opportunity to expand on my knowledge with UI Software as well as make some friends and also help out a company, it also helps increase my ability to Work with other people.

Relevant Experience:
I participated in ADU's 4th Hackathon COE in Abu Dhabi and our team placed 9th due to a shortage of time to prepare. I also participated in F1 in Schools as The Lead Engineer of team Vortexis. And various environmental and diplomatic competitions.

Project Understanding:
I think it helps people with making an app that caters to the People's needs for a Financial app, and I think by making the UI Easy and modern, and quick it would make this project a great success.

Proposed Approach:
First of all, Research, Research is a vital thing to do in all activities and projects it helps with understanding and gaining knowledge then by organizing team meetings with the team and planning our approach together, and then working as a team to make this come true!

Availability:
5-10 hours

Start Date: 2025-08-09

Commitment Level: regular"
cmdoucour0001jo04q4yym6qe,cmdotz1040000jo04uhh0f5xj,cmdnev7jb000p47bcymbgpgn2,PENDING,7/29/2025 17:59:09,7/29/2025 17:59:10,"What excites me the most is that i will get to learn new things

Relevant Experience:
I have developed some basic websites, and an app

Project Understanding:
That they need someone to develop an app, and I will get alot of new knowledge for this

Proposed Approach:
I will try my best to learn, and adapt to new things and do my best

Availability:
10-15 hours

Start Date: 2025-08-01

Commitment Level: regular"
cmdp263640001jy04374k91d3,cmdoi5ahl0000ju0476vbr1yy,cmdnev2w4000d47bcqit8llur,PENDING,7/29/2025 21:37:58,7/29/2025 21:37:59,"I am interested in everything blockchain related.

Relevant Experience:
I have interned in smalled companies and I work well in small teams.

Project Understanding:
                                                    

Proposed Approach:
 Requirements Gathering
	•	Identify the pain points in the current supply chain.
	•	Define the goals (e.g., increased traceability, reduced fraud, improved compliance).
	•	Map all stakeholders and data flow..

Availability:
5-10 hours

Start Date: 2025-08-01

Commitment Level: regular"
