id,companyId,title,createdAt,updatedAt
cmdnet6ze0008475bbkbutcdd,cmdnet6kr0006475b676j45sb,Sustainable Fashion Brand Marketing Intern,7/28/2025 17:56:19,8/26/2025 6:37:35
cmdnetdbb000t475b470ah9og,cmdnetcwg000r475bbjw2ykck,Renewable Energy Investment Intern,7/28/2025 17:56:27,8/26/2025 16:46:51
cmdneuy53000147bchyjf8l90,cmdnet4z20000475bhlp3el98,Mobile App UI/UX Intern,7/28/2025 17:57:41,8/25/2025 6:41:18
cmdneuyyi000347bczep58ipr,cmdnet5rl0003475b4dvyoxh8,AI-Powered Content Creation Intern,7/28/2025 17:57:42,8/14/2025 19:54:07
cmdneuzre000547bcqzwir5u9,cmdnet6kr0006475b676j45sb,Sustainable Fashion Intern,7/28/2025 17:57:43,8/14/2025 19:36:59
cmdnev0kl000747bc2ezzarnw,cmdnet7sj0009475badk7p5is,E-commerce Data Intern,7/28/2025 17:57:44,8/24/2025 6:45:52
cmdnev1cp000947bc3r73y9is,cmdnet8lq000c475b4xtnxf34,Healthcare App Intern,7/28/2025 17:57:45,8/25/2025 9:28:37
cmdnev245000b47bc6nyfkb77,cmdnet9em000f475btb6uz0jx,Social Impact Research Analyst,7/28/2025 17:57:46,8/24/2025 7:43:30
cmdnev2w4000d47bcqit8llur,cmdneta8e000i475bo5fiwx8o,Blockchain Supply Chain Developer,7/28/2025 17:57:47,8/25/2025 7:09:04
cmdnev3o0000f47bc5ri578uj,cmdnetb7r000l475byqle8qeh,Educational Video Content Producer,7/28/2025 17:57:48,8/24/2025 8:11:22
cmdnev4fx000h47bc5dvuypy4,cmdnetc3f000o475b9mqpfgqh,Mental Health App Product Manager,7/28/2025 17:57:49,8/22/2025 5:06:20
cmdnev57b000j47bcoo9tskz5,cmdnetcwg000r475bbjw2ykck,Renewable Energy Investment Analyst,7/28/2025 17:57:50,8/26/2025 16:35:27
cmdnev61g000l47bcqvcbqxqb,cmdnete4b000u475b3w3bfmsb,AI Customer Service Chatbot Developer,7/28/2025 17:57:51,8/25/2025 7:06:42
cmdnev6sh000n47bc5i86j7gf,cmdnetewc000x475b2ggg6cwx,Digital Art & NFT Platform Designer,7/28/2025 17:57:52,8/20/2025 13:44:07
cmdnev7jb000p47bcymbgpgn2,cmdnetfnq0010475brmvlrz4p,Mobile App Developer - Food Waste Reduction,7/28/2025 17:57:53,8/20/2025 13:43:06
cmdnev8a2000r47bcq4a5ecq3,cmdnetgho0013475ba0ue77yw,Cybersecurity Analyst Intern,7/28/2025 17:57:54,8/24/2025 18:40:36
cmdnev921000t47bctzmxc0my,cmdneth8w0016475b656c24f3,Smart City Data Analytics Intern,7/28/2025 17:57:55,8/25/2025 7:04:04
cmds1o3y40005jo041f691thl,cmds1kgyu0000jo04vnt0crxp,nnlkn,7/31/2025 23:47:18,8/1/2025 0:08:53
cmdu9a8s70005jv04c0n74lvi,cmdu90dio000iky046lw0mag0,Social Media Marketing Campaigns Intern,8/2/2025 12:56:00,8/24/2025 11:45:33
cmdx63ped000jkt04honkizpt,cmdx5fa6x0004kt04dinst3va,Pharmaceutical Business Development ,8/4/2025 13:50:15,8/4/2025 14:53:05
cme75cckd0001lc04o8gew1q5,cmdqd3fvi000tjz05kozd9owu,test,8/11/2025 13:26:40,8/11/2025 13:26:40
cmee4an300001jr04y1y5rzv0,cmee2pgs20000jp04m2tq2faw,Financial Curriculum Lead,8/16/2025 10:31:44,8/16/2025 10:31:44
cmee4d53l0001l504d144i24l,cmee2pgs20000jp04m2tq2faw,App / Tech Lead,8/16/2025 10:33:41,8/16/2025 10:33:41
